TIME, U1, U2, U3, I1, I2, I3
1.86, 393.16, 392.1, 392.673, 8.12, 10.34, 8.36
1.88, -392.264, -392.818, -392.068, -9.68, -7.54, -8.98
1.9, 392.956, 392.1, 392.673, 7.9, 10.57, 8.36
1.92, -392.4, -392.886, -392.068, -9.79, -7.43, -9.09
1.94, 393.16, 392.168, 392.741, 8.12, 10.34, 8.47
1.96, -392.128, -392.75, -392.068, -9.9, -7.43, -9.09
1.98, 393.024, 392.1, 392.809, 8.01, 10.68, 8.58
2.0, -392.128, -392.682, -392.136, -9.9, -7.43, -9.31
2.02, 392.888, 392.1, 392.877, 8.01, 10.57, 8.47
2.04, -392.128, -393.022, -392.204, -9.79, -7.54, -8.98
2.06, 392.888, 392.44, 392.673, 8.12, 10.57, 8.47
2.08, -392.196, -393.022, -392.068, -9.79, -7.54, -9.09
2.1, 393.024, 392.372, 392.945, 8.12, 10.34, 8.47
2.12, -392.196, -393.09, -392.068, -9.79, -7.43, -8.98
2.14, 392.888, 392.372, 392.741, 8.01, 10.46, 8.36
2.16, -392.332, -393.022, -392.0, -9.68, -7.43, -9.31
2.18, 392.888, 392.168, 392.741, 8.01, 10.34, 8.36
2.2, -392.196, -393.09, -392.136, -9.68, -7.43, -9.31
2.22, 392.956, 392.304, 392.809, 8.01, 10.34, 8.58
2.24, -392.264, -392.954, -392.068, -9.79, -7.65, -9.31
2.26, 392.888, 392.304, 392.809, 8.12, 10.23, 8.36
2.28, -392.128, -393.022, -392.136, -9.79, -7.43, -9.2
2.3, 392.888, 392.236, 392.741, 8.01, 10.46, 8.47
2.32, -392.128, -393.022, -392.204, -9.68, -7.65, -9.2
2.34, 392.888, 392.372, 392.809, 7.9, 10.34, 8.36
2.36, -392.128, -393.022, -392.0, -9.57, -7.43, -9.2
2.38, 393.024, 392.168, 392.673, 8.01, 10.34, 8.36
2.4, -392.196, -392.818, -392.068, -9.79, -7.54, -9.09
2.42, 392.956, 392.236, 392.741, 8.12, 10.46, 8.36
2.44, -392.196, -392.886, -392.136, -9.68, -7.43, -9.2
2.46, 392.956, 392.168, 392.809, 7.9, 10.46, 8.47
2.48, -392.196, -392.886, -392.204, -9.79, -7.43, -9.2
2.5, 393.024, 392.168, 392.877, 8.01, 10.68, 8.25
2.52, -392.128, -392.818, -392.0, -9.79, -7.43, -9.09
2.54, 393.16, 392.1, 392.809, 7.9, 10.34, 8.58
2.56, -392.196, -392.75, -392.204, -9.79, -7.43, -9.42
2.58, 392.956, 392.236, 392.809, 8.23, 10.46, 8.58
2.6, -392.128, -393.022, -392.0, -9.79, -7.54, -9.09
2.62, 392.82, 392.168, 392.809, 7.9, 10.57, 8.36
2.64, -392.196, -392.954, -392.068, -9.68, -7.43, -9.2
2.66, 392.888, 392.032, 392.809, 8.01, 10.34, 8.36
2.68, -392.196, -393.022, -392.0, -9.68, -7.43, -9.09
2.7, 392.888, 391.964, 392.741, 8.01, 10.34, 8.47
2.72, -392.196, -392.886, -392.136, -9.79, -7.54, -9.2
2.74, 392.888, 392.032, 392.809, 8.12, 10.46, 8.47
2.76, -392.196, -392.818, -392.136, -9.57, -7.43, -9.2
2.78, 392.888, 392.032, 392.741, 8.23, 10.57, 8.36
2.8, -392.264, -393.226, -392.0, -9.68, -7.43, -9.31
2.82, 392.956, 392.236, 392.673, 8.01, 10.46, 8.47
2.84, -392.196, -393.158, -392.068, -9.79, -7.43, -9.31
2.86, 392.82, 392.236, 392.741, 8.23, 10.57, 8.36
2.88, -392.4, -393.158, -392.136, -9.9, -7.54, -9.31
2.9, 392.888, 392.236, 392.809, 8.23, 10.23, 8.36
2.92, -392.264, -393.022, -392.068, -9.79, -7.54, -9.2
2.94, 392.888, 392.372, 392.809, 8.23, 10.34, 8.47
2.96, -392.332, -392.954, -392.0, -9.57, -7.54, -8.98
2.98, 392.888, 392.168, 392.809, 8.34, 10.46, 8.47
3.0, -392.264, -392.818, -392.068, -9.68, -7.43, -9.2
3.02, 392.888, 392.168, 392.741, 8.12, 10.46, 8.47
3.04, -392.264, -392.818, -392.0, -9.79, -7.54, -9.31
3.06, 393.092, 392.168, 392.741, 8.12, 10.46, 8.58
3.08, -392.196, -392.954, -392.0, -9.68, -7.43, -9.2
3.1, 392.888, 392.304, 392.741, 8.12, 10.46, 8.47
3.12, -392.332, -392.886, -392.0, -9.68, -7.32, -9.31
3.14, 392.82, 392.168, 392.809, 8.01, 10.46, 8.47
3.16, -392.264, -392.954, -392.0, -9.68, -7.65, -9.31
3.18, 393.024, 392.236, 392.741, 8.12, 10.46, 8.36
3.2, -392.196, -392.886, -392.068, -9.68, -7.43, -9.42
3.22, 392.888, 392.1, 392.741, 7.9, 10.57, 8.36
3.24, -392.264, -392.954, -392.068, -9.68, -7.54, -9.2
3.26, 392.956, 392.1, 392.809, 8.12, 10.46, 8.36
3.28, -392.264, -392.818, -391.932, -9.68, -7.43, -9.2
3.3, 392.956, 392.1, 392.741, 8.23, 10.46, 8.36
3.32, -392.196, -392.75, -392.0, -9.57, -7.32, -9.53
3.34, 392.956, 392.032, 392.673, 8.01, 10.46, 8.36
3.36, -392.196, -392.75, -391.932, -9.57, -7.54, -8.98
3.38, 392.752, 392.032, 392.741, 8.01, 10.34, 8.36
3.4, -392.128, -392.75, -391.932, -9.68, -7.43, -9.2
3.42, 392.956, 391.964, 392.673, 8.12, 10.46, 8.36
3.44, -392.332, -392.954, -391.864, -9.9, -7.65, -9.09
3.46, 392.82, 392.032, 392.673, 7.9, 10.34, 8.36
3.48, -392.264, -392.614, -391.864, -9.68, -7.32, -8.98
3.5, 392.82, 391.896, 392.741, 8.01, 10.23, 8.36
3.52, -392.264, -392.682, -391.932, -9.57, -7.43, -9.2
3.54, 392.888, 391.964, 392.673, 7.9, 10.34, 8.36
3.56, -392.196, -393.09, -392.068, -9.68, -7.32, -9.2
3.58, 392.888, 392.44, 392.741, 8.12, 10.46, 8.36
3.6, -392.06, -393.158, -392.0, -9.68, -7.43, -9.31
3.62, 393.024, 392.44, 392.741, 8.01, 10.34, 8.47
3.64, -392.264, -393.226, -391.796, -9.79, -7.43, -8.98
3.66, 392.888, 392.44, 392.741, 7.9, 10.34, 8.58
3.68, -392.4, -393.226, -391.932, -9.68, -7.54, -8.98
3.7, 393.024, 392.304, 392.605, 8.23, 10.46, 8.36
3.72, -392.4, -393.158, -391.864, -9.68, -7.54, -9.2
3.74, 392.956, 392.372, 392.673, 8.01, 10.46, 8.36
3.76, -392.196, -393.158, -391.864, -9.79, -7.54, -9.09
3.78, 392.956, 392.372, 392.605, 8.12, 10.34, 8.69
3.8, -392.264, -393.022, -391.864, -9.57, -7.43, -9.2
3.82, 393.092, 392.372, 392.741, 8.01, 10.23, 8.36
3.84, -392.264, -393.09, -391.932, -9.79, -7.43, -9.09
3.86, 392.888, 392.236, 392.605, 8.01, 10.46, 8.36
3.88, -392.264, -393.09, -391.932, -9.68, -7.43, -9.2
3.9, 393.024, 392.236, 392.673, 8.01, 10.46, 8.36
3.92, -392.264, -393.022, -391.864, -9.79, -7.21, -9.2
3.94, 392.956, 392.304, 392.673, 8.01, 10.34, 8.47
3.96, -392.332, -393.022, -391.864, -9.68, -7.43, -9.2
3.98, 392.956, 392.236, 392.673, 7.9, 10.46, 8.58
4.0, -392.128, -392.954, -391.932, -9.57, -7.32, -9.2
4.02, 392.888, 392.236, 392.741, 8.01, 10.34, 8.36
4.04, -392.196, -392.886, -391.728, -9.68, -7.43, -9.2
4.06, 392.888, 392.168, 392.877, 8.12, 10.34, 8.36
4.08, -391.992, -393.022, -391.932, -9.68, -7.54, -8.98
4.1, 392.82, 392.032, 392.673, 8.12, 10.34, 8.36
4.12, -392.264, -392.954, -391.864, -10.12, -7.43, -9.09
4.14, 393.16, 392.168, 392.605, 8.12, 10.23, 8.47
4.16, -392.196, -392.818, -391.864, -9.79, -7.43, -9.09
4.18, 392.82, 392.1, 392.673, 8.12, 10.46, 8.47
4.2, -392.128, -392.886, -391.932, -9.68, -7.43, -9.2
4.22, 393.024, 392.168, 392.673, 8.12, 10.46, 8.47
4.24, -392.128, -392.75, -391.864, -9.9, -7.43, -9.2
4.26, 392.684, 392.1, 392.673, 8.23, 10.34, 8.47
4.28, -392.06, -392.75, -392.0, -9.68, -7.43, -8.98
4.3, 392.82, 392.1, 392.673, 8.12, 10.34, 8.36
4.32, -392.128, -393.022, -391.864, -9.57, -7.32, -9.2
4.34, 393.024, 392.372, 392.673, 8.23, 10.34, 8.36
