TIME, AC_VRMS_1, AC_IRMS_1, AC_P_1, AC_S_1, AC_Q_1, AC_PF_1, AC_FREQ_1, AC_VRMS_2, AC_IRMS_2, AC_P_2, AC_S_2, AC_Q_2, AC_PF_2, AC_FREQ_2, AC_VRMS_3, AC_IRMS_3, AC_P_3, AC_S_3, AC_Q_3, AC_PF_3, AC_FREQ_3, DC_V, DC_I, DC_P, PF_TARGET, PF_MAX, PF_MIN
1549009514.15, 277.212, 5.82, 1611.0, 1611.0, -17.0, 0.99995, 60.0, 277.3, 5.89, 1626.0, 1626.0, 4.0, -1.0, 60.0, 277.183, 5.81, 1608.0, 1608.0, -5.0, 1.0, 60.0, 462.32, 0.035, 16.0, -0.8, -0.78, -0.82
1549009515.16, 277.271, 5.87, 1626.0, 1626.0, -12.0, 0.99997, 60.0, 277.257, 5.88, 1624.0, 1624.0, 5.0, -1.0, 60.0, 277.15, 5.82, 1610.0, 1610.0, -5.0, 1.0, 60.0, 458.89, 0.037, 17.0, -0.8, -0.78, -0.82
1549009516.16, 277.315, 5.88, 1621.0, 1622.0, 43.0, -0.99965, 60.001, 277.447, 5.91, 1624.0, 1626.0, 66.0, -0.99918, 60.0, 277.239, 5.85, 1609.0, 1609.0, 46.0, -0.99959, 60.0, 455.98, 0.04, 18.0, -0.8, -0.78, -0.82
1549009517.16, 277.715, 6.49, 1623.0, 1746.0, 643.0, -0.92977, 60.001, 277.6, 6.52, 1620.0, 1750.0, 660.0, -0.92603, 60.0, 277.517, 6.47, 1614.0, 1737.0, 642.0, -0.92915, 60.0, 455.92, 0.037, 17.0, -0.8, -0.78, -0.82
1549009518.16, 277.624, 7.25, 1619.0, 2016.0, 1202.0, -0.80299, 59.999, 277.8, 7.33, 1622.0, 2031.0, 1223.0, -0.79851, 60.001, 277.643, 7.26, 1611.0, 2014.0, 1210.0, -0.79968, 60.0, 455.97, 0.039, 18.0, -0.8, -0.78, -0.82
