TIME, AC_VRMS_1, AC_IRMS_1, AC_P_1, AC_S_1, AC_Q_1, AC_PF_1, AC_FREQ_1, AC_VRMS_2, AC_IRMS_2, AC_P_2, AC_S_2, AC_Q_2, AC_PF_2, AC_FREQ_2, AC_VRMS_3, AC_IRMS_3, AC_P_3, AC_S_3, AC_Q_3, AC_PF_3, AC_FREQ_3, DC_V, DC_I, DC_P, PF_TARGET, PF_MAX, PF_MIN
1549009478.34, 277.233, 7.25, 1610.0, 2009.0, -1201.0, 0.80147, 60.0, 277.313, 7.27, 1616.0, 2010.0, -1196.0, 0.80389, 60.001, 277.111, 7.24, 1604.0, 2007.0, -1206.0, 0.79918, 60.0, 460.53, 0.026, 12.0, 1.0, 0.98, -0.98
1549009479.34, 277.194, 7.26, 1610.0, 2012.0, -1207.0, 0.80025, 60.001, 277.263, 7.26, 1616.0, 2011.0, -1196.0, 0.80392, 60.0, 277.184, 7.24, 1602.0, 2004.0, -1204.0, 0.79928, 60.001, 455.95, 0.028, 13.0, 1.0, 0.98, -0.98
1549009480.34, 277.534, 6.3, 1615.0, 1801.0, -797.0, 0.89673, 60.0, 277.617, 6.31, 1620.0, 1801.0, -785.0, 0.89988, 60.0, 277.438, 6.26, 1602.0, 1787.0, -793.0, 0.89623, 60.0, 456.05, 0.026, 12.0, 1.0, 0.98, -0.98
1549009481.34, 277.646, 5.82, 1614.0, 1620.0, -141.0, 0.99619, 60.001, 277.715, 5.87, 1625.0, 1629.0, -123.0, 0.99714, 60.0, 277.603, 5.81, 1610.0, 1616.0, -133.0, 0.99661, 60.001, 456.06, 0.03, 13.0, 1.0, 0.98, -0.98
1549009482.33, 277.525, 5.83, 1616.0, 1616.0, -12.0, 0.99997, 60.0, 277.556, 5.88, 1628.0, 1628.0, 4.0, -1.0, 60.0, 277.427, 5.83, 1614.0, 1614.0, -8.0, 0.99999, 60.0, 454.79, 0.029, 13.0, 1.0, 0.98, -0.98
