TIME, AC_VRMS_1, AC_IRMS_1, AC_P_1, AC_S_1, AC_Q_1, AC_PF_1, AC_FREQ_1, AC_VRMS_2, AC_IRMS_2, AC_P_2, AC_S_2, AC_Q_2, AC_PF_2, AC_FREQ_2, AC_VRMS_3, AC_IRMS_3, AC_P_3, AC_S_3, AC_Q_3, AC_PF_3, AC_FREQ_3, DC_V, DC_I, DC_P, PF_TARGET, PF_MAX, PF_MIN
1549009486.41, 277.285, 5.83, 1614.0, 1614.0, -10.0, 0.99998, 60.0, 277.264, 5.88, 1625.0, 1625.0, 2.0, -1.0, 60.001, 277.236, 5.84, 1615.0, 1615.0, -9.0, 0.99998, 60.0, 455.92, 0.032, 14.0, 0.8, 0.82, 0.78
1549009487.41, 277.357, 5.83, 1613.0, 1613.0, -8.0, 0.99999, 60.0, 277.305, 5.87, 1623.0, 1623.0, 5.0, -1.0, 60.0, 277.209, 5.84, 1616.0, 1616.0, -8.0, 0.99999, 60.0, 455.82, 0.032, 14.0, 0.8, 0.82, 0.78
1549009488.41, 277.04, 6.07, 1612.0, 1651.0, -356.0, 0.97652, 60.0, 277.005, 6.11, 1623.0, 1658.0, -336.0, 0.97919, 59.999, 277.044, 6.04, 1607.0, 1643.0, -344.0, 0.97786, 60.0, 456.94, 0.032, 14.0, 0.8, 0.82, 0.78
1549009489.41, 276.887, 7.1, 1610.0, 1889.0, -989.0, 0.85196, 60.001, 276.929, 7.11, 1616.0, 1890.0, -980.0, 0.85507, 60.002, 276.775, 7.06, 1597.0, 1875.0, -983.0, 0.85171, 60.0, 462.48, 0.033, 15.0, 0.8, 0.82, 0.78
1549009490.41, 276.94, 7.28, 1614.0, 2014.0, -1205.0, 0.80122, 59.999, 276.995, 7.28, 1621.0, 2015.0, -1196.0, 0.80475, 60.0, 276.896, 7.22, 1597.0, 1999.0, -1202.0, 0.7988, 60.0, 461.57, 0.03, 14.0, 0.8, 0.82, 0.78
