TIME, AC_VRMS_1, AC_IRMS_1, AC_P_1, AC_S_1, AC_Q_1, AC_PF_1, AC_FREQ_1, AC_VRMS_2, AC_IRMS_2, AC_P_2, AC_S_2, AC_Q_2, AC_PF_2, AC_FREQ_2, AC_VRMS_3, AC_IRMS_3, AC_P_3, AC_S_3, AC_Q_3, AC_PF_3, AC_FREQ_3, DC_V, DC_I, DC_P, PF_TARGET, PF_MAX, PF_MIN
1549009464.46, 277.22, 7.25, 1612.0, 2011.0, -1203.0, 0.80144, 60.001, 277.16, 7.25, 1609.0, 2005.0, -1196.0, 0.80262, 60.0, 277.1, 7.24, 1601.0, 2004.0, -1205.0, 0.79888, 60.0, 460.27, 0.023, 10.0, 1.0, 0.98, -0.98
1549009465.46, 277.183, 7.23, 1606.0, 2004.0, -1198.0, 0.80138, 60.0, 277.301, 7.23, 1606.0, 2005.0, -1201.0, 0.80085, 60.002, 277.08, 7.24, 1601.0, 2001.0, -1201.0, 0.80001, 60.0, 462.45, 0.024, 11.0, 1.0, 0.98, -0.98
1549009466.46, 277.237, 7.26, 1614.0, 2012.0, -1200.0, 0.80257, 60.001, 277.205, 7.26, 1614.0, 2009.0, -1197.0, 0.80327, 60.0, 277.143, 7.24, 1605.0, 2008.0, -1208.0, 0.79904, 60.0, 458.14, 0.024, 11.0, 1.0, 0.98, -0.98
1549009467.46, 277.503, 6.15, 1612.0, 1755.0, -693.0, 0.91868, 60.001, 277.695, 6.18, 1622.0, 1759.0, -681.0, 0.92211, 60.001, 277.519, 6.14, 1611.0, 1751.0, -686.0, 0.92008, 60.0, 456.03, 0.023, 10.0, 1.0, 0.98, -0.98
1549009468.46, 277.698, 5.83, 1617.0, 1618.0, -51.0, 0.9995, 60.0, 277.661, 5.87, 1625.0, 1625.0, -35.0, 0.99977, 59.999, 277.618, 5.82, 1613.0, 1614.0, -52.0, 0.99948, 60.0, 456.05, 0.026, 12.0, 1.0, 0.98, -0.98
