TIME, AC_VRMS_1, AC_IRMS_1, AC_P_1, AC_S_1, AC_Q_1, AC_PF_1, AC_FREQ_1, AC_VRMS_2, AC_IRMS_2, AC_P_2, AC_S_2, AC_Q_2, AC_PF_2, AC_FREQ_2, AC_VRMS_3, AC_IRMS_3, AC_P_3, AC_S_3, AC_Q_3, AC_PF_3, AC_FREQ_3, DC_V, DC_I, DC_P, PF_TARGET, PF_MAX, PF_MIN
1549009521.09, 277.402, 7.27, 1616.0, 2015.0, 1204.0, -0.80189, 60.001, 277.327, 7.29, 1612.0, 2017.0, 1214.0, -0.79882, 60.0, 277.276, 7.26, 1613.0, 2012.0, 1202.0, -0.80188, 60.0, 451.74, 0.035, 16.0, 1.0, 0.98, -0.98
1549009522.1, 277.086, 6.33, 1621.0, 1809.0, 802.0, -0.89622, 60.0, 277.145, 6.39, 1627.0, 1819.0, 813.0, -0.89457, 59.999, 277.027, 6.33, 1615.0, 1806.0, 810.0, -0.89397, 60.0, 455.93, 0.038, 17.0, 1.0, 0.98, -0.98
1549009523.1, 276.803, 5.85, 1617.0, 1623.0, 134.0, -0.99658, 60.0, 276.803, 5.91, 1629.0, 1636.0, 145.0, -0.99607, 60.0, 276.742, 5.83, 1609.0, 1615.0, 138.0, -0.99632, 60.0, 455.91, 0.034, 16.0, 1.0, 0.98, -0.98
1549009524.1, 277.059, 5.85, 1617.0, 1617.0, -7.0, 0.99999, 60.001, 277.019, 5.87, 1619.0, 1619.0, 1.0, -1.0, 60.0, 276.884, 5.84, 1614.0, 1614.0, -7.0, 0.99999, 60.0, 455.97, 0.036, 16.0, 1.0, 0.98, -0.98
1549009525.09, 277.067, 5.85, 1619.0, 1619.0, -9.0, 0.99999, 59.999, 277.164, 5.88, 1622.0, 1622.0, 1.0, -1.0, 60.0, 277.007, 5.83, 1612.0, 1612.0, -8.0, 0.99999, 60.0, 457.58, 0.035, 16.0, 1.0, 0.98, -0.98
