TIME, AC_VRMS_1, AC_IRMS_1, AC_P_1, AC_S_1, AC_Q_1, AC_PF_1, AC_FREQ_1, AC_VRMS_2, AC_IRMS_2, AC_P_2, AC_S_2, AC_Q_2, AC_PF_2, AC_FREQ_2, AC_VRMS_3, AC_IRMS_3, AC_P_3, AC_S_3, AC_Q_3, AC_PF_3, AC_FREQ_3, DC_V, DC_I, DC_P, PF_TARGET, PF_MAX, PF_MIN
1549009471.4, 277.386, 5.81, 1610.0, 1610.0, -8.0, 0.99999, 60.001, 277.389, 5.85, 1619.0, 1619.0, -2.0, 1.0, 59.999, 277.285, 5.82, 1609.0, 1609.0, -4.0, 1.0, 60.0, 449.57, 0.026, 12.0, 0.8, 0.82, 0.78
1549009472.39, 277.3, 5.81, 1609.0, 1609.0, -13.0, 0.99997, 60.0, 277.353, 5.86, 1620.0, 1620.0, 3.0, -1.0, 60.0, 277.277, 5.82, 1610.0, 1610.0, -6.0, 0.99999, 60.0, 452.59, 0.032, 15.0, 0.8, 0.82, 0.78
1549009473.4, 277.097, 6.06, 1613.0, 1649.0, -344.0, 0.97796, 60.001, 277.055, 6.1, 1624.0, 1659.0, -341.0, 0.97869, 60.0, 277.006, 6.05, 1607.0, 1643.0, -341.0, 0.97825, 60.0, 456.07, 0.025, 11.0, 0.8, 0.82, 0.78
1549009474.39, 276.806, 7.09, 1611.0, 1885.0, -980.0, 0.85432, 60.001, 276.902, 7.09, 1622.0, 1892.0, -975.0, 0.85699, 60.001, 276.741, 7.04, 1599.0, 1877.0, -982.0, 0.85207, 60.0, 456.11, 0.026, 12.0, 0.8, 0.82, 0.78
1549009475.4, 277.018, 7.28, 1612.0, 2013.0, -1204.0, 0.80114, 60.0, 276.961, 7.26, 1615.0, 2009.0, -1195.0, 0.80391, 60.0, 276.997, 7.23, 1600.0, 2002.0, -1204.0, 0.79903, 60.0, 456.09, 0.032, 15.0, 0.8, 0.82, 0.78
