TIME, AC_VRMS_1, AC_IRMS_1, AC_P_1, AC_S_1, AC_Q_1, AC_PF_1, AC_FREQ_1, AC_VRMS_2, AC_IRMS_2, AC_P_2, AC_S_2, AC_Q_2, AC_PF_2, AC_FREQ_2, AC_VRMS_3, AC_IRMS_3, AC_P_3, AC_S_3, AC_Q_3, AC_PF_3, AC_FREQ_3, DC_V, DC_I, DC_P, PF_TARGET, PF_MAX, PF_MIN
1549009450.59, 277.362, 5.83, 1616.0, 1616.0, -11.0, 0.99998, 2400.0, 277.355, 5.84, 1616.0, 1616.0, 4.0, -1.0, 2400.0, 277.281, 5.8, 1605.0, 1605.0, -8.0, 0.99999, 2400.0, 449.53, 0.019, 9.0, 1.0, 0.98, -0.98
1549009451.59, 277.295, 5.83, 1614.0, 1614.0, 0.0, -1.0, 60.0, 277.232, 5.85, 1618.0, 1618.0, 0.0, -1.0, 60.0, 277.246, 5.82, 1609.0, 1609.0, -0.0, -1.0, 60.001, 449.49, 0.021, 10.0, 1.0, 0.98, -0.98
1549009452.59, 277.332, 5.8, 1607.0, 1607.0, -9.0, 0.99998, 60.001, 277.333, 5.8, 1605.0, 1605.0, -0.0, -1.0, 60.001, 277.218, 5.79, 1602.0, 1602.0, -11.0, 0.99998, 60.0, 443.12, 0.02, 9.0, 1.0, 0.98, -0.98
1549009453.59, 277.286, 5.79, 1603.0, 1603.0, -9.0, 0.99998, 60.001, 277.204, 5.81, 1607.0, 1607.0, 6.0, -0.99999, 60.0, 277.21, 5.77, 1596.0, 1596.0, -8.0, 0.99999, 60.0, 443.12, 0.025, 11.0, 1.0, 0.98, -0.98
1549009454.59, 277.343, 5.82, 1612.0, 1612.0, -11.0, 0.99998, 60.0, 277.375, 5.84, 1615.0, 1615.0, 2.0, -1.0, 60.002, 277.267, 5.81, 1608.0, 1608.0, -11.0, 0.99998, 60.0, 449.4, 0.023, 10.0, 1.0, 0.98, -0.98
