TIME, AC_VRMS_1, AC_IRMS_1, AC_P_1, AC_S_1, AC_Q_1, AC_PF_1, AC_FREQ_1, AC_VRMS_2, AC_IRMS_2, AC_P_2, AC_S_2, AC_Q_2, AC_PF_2, AC_FREQ_2, AC_VRMS_3, AC_IRMS_3, AC_P_3, AC_S_3, AC_Q_3, AC_PF_3, AC_FREQ_3, DC_V, DC_I, DC_P, PF_TARGET, PF_MAX, PF_MIN
1549009457.53, 277.368, 5.82, 1612.0, 1612.0, -9.0, 0.99999, 60.0, 277.239, 5.85, 1616.0, 1616.0, 3.0, -1.0, 60.0, 277.167, 5.81, 1608.0, 1608.0, -7.0, 0.99999, 60.0, 449.51, 0.021, 10.0, 0.8, 0.82, 0.78
1549009458.52, 277.269, 5.84, 1616.0, 1616.0, -10.0, 0.99998, 60.0, 277.398, 5.84, 1617.0, 1617.0, 2.0, -1.0, 60.001, 277.268, 5.82, 1610.0, 1610.0, -5.0, 0.99999, 60.0, 455.01, 0.024, 11.0, 0.8, 0.82, 0.78
1549009459.53, 277.092, 6.03, 1615.0, 1644.0, -306.0, 0.98252, 60.0, 277.017, 6.06, 1621.0, 1648.0, -296.0, 0.98375, 59.999, 277.028, 6.02, 1610.0, 1638.0, -304.0, 0.98258, 60.0, 456.03, 0.021, 10.0, 0.8, 0.82, 0.78
1549009460.53, 276.793, 6.98, 1610.0, 1864.0, -938.0, 0.86421, 60.001, 276.909, 6.98, 1614.0, 1861.0, -926.0, 0.86754, 60.0, 276.74, 6.97, 1602.0, 1857.0, -940.0, 0.86244, 60.001, 450.53, 0.022, 10.0, 0.8, 0.82, 0.78
1549009461.53, 276.983, 7.25, 1607.0, 2004.0, -1198.0, 0.80177, 60.0, 276.981, 7.23, 1608.0, 2002.0, -1193.0, 0.80306, 59.999, 276.868, 7.21, 1592.0, 1997.0, -1206.0, 0.79709, 60.0, 449.53, 0.025, 11.0, 0.8, 0.82, 0.78
