TIME, AC_VRMS_1, AC_IRMS_1, AC_P_1, AC_S_1, AC_Q_1, AC_PF_1, AC_FREQ_1, AC_VRMS_2, AC_IRMS_2, AC_P_2, AC_S_2, AC_Q_2, AC_PF_2, AC_FREQ_2, AC_VRMS_3, AC_IRMS_3, AC_P_3, AC_S_3, AC_Q_3, AC_PF_3, AC_FREQ_3, DC_V, DC_I, DC_P, PF_TARGET, PF_MAX, PF_MIN
1549009528.19, 277.243, 5.83, 1614.0, 1614.0, -7.0, 0.99999, 60.0, 277.246, 5.88, 1623.0, 1623.0, -2.0, 1.0, 60.001, 277.108, 5.84, 1615.0, 1615.0, -7.0, 0.99999, 60.0, 455.95, 0.037, 17.0, -0.8, -0.78, -0.82
1549009529.19, 277.302, 5.84, 1618.0, 1618.0, -7.0, 0.99999, 60.0, 277.326, 5.89, 1625.0, 1625.0, 2.0, -1.0, 60.0, 277.113, 5.84, 1615.0, 1615.0, -12.0, 0.99997, 60.0, 456.01, 0.036, 16.0, -0.8, -0.78, -0.82
1549009530.2, 277.273, 5.85, 1617.0, 1617.0, -0.0, -1.0, 60.0, 277.276, 5.9, 1625.0, 1625.0, 11.0, -0.99998, 59.999, 277.172, 5.85, 1616.0, 1616.0, 2.0, -1.0, 60.0, 456.01, 0.038, 17.0, -0.8, -0.78, -0.82
1549009531.2, 277.652, 6.35, 1622.0, 1717.0, 563.0, -0.94469, 60.001, 277.73, 6.4, 1623.0, 1721.0, 574.0, -0.94277, 60.001, 277.6, 6.34, 1613.0, 1709.0, 564.0, -0.94404, 60.0, 454.24, 0.036, 16.0, -0.8, -0.78, -0.82
1549009532.2, 277.72, 7.24, 1614.0, 2010.0, 1197.0, -0.8032, 60.0, 277.668, 7.31, 1617.0, 2021.0, 1212.0, -0.80022, 60.0, 277.663, 7.26, 1611.0, 2009.0, 1200.0, -0.80205, 60.0, 449.43, 0.036, 16.0, -0.8, -0.78, -0.82
