TIME, AC_VRMS_1, AC_IRMS_1, AC_P_1, AC_S_1, AC_Q_1, AC_PF_1, AC_FREQ_1, AC_VRMS_2, AC_IRMS_2, AC_P_2, AC_S_2, AC_Q_2, AC_PF_2, AC_FREQ_2, AC_VRMS_3, AC_IRMS_3, AC_P_3, AC_S_3, AC_Q_3, AC_PF_3, AC_FREQ_3, DC_V, DC_I, DC_P, PF_TARGET, PF_MAX, PF_MIN
1549009500.28, 277.308, 5.84, 1616.0, 1616.0, -13.0, 0.99997, 60.0, 277.458, 5.87, 1624.0, 1624.0, 2.0, -1.0, 60.001, 277.251, 5.83, 1612.0, 1612.0, -6.0, 0.99999, 60.0, 455.83, 0.035, 16.0, -0.8, -0.78, -0.82
1549009501.28, 277.37, 5.83, 1616.0, 1616.0, -11.0, 0.99998, 60.0, 277.298, 5.87, 1622.0, 1622.0, 2.0, -1.0, 60.0, 277.284, 5.81, 1609.0, 1609.0, -2.0, 1.0, 60.0, 461.87, 0.037, 17.0, -0.8, -0.78, -0.82
1549009502.28, 277.37, 5.84, 1614.0, 1614.0, 16.0, -0.99995, 60.0, 277.491, 5.88, 1621.0, 1621.0, 27.0, -0.99986, 60.001, 277.331, 5.84, 1610.0, 1610.0, 20.0, -0.99992, 60.0, 462.51, 0.035, 16.0, -0.8, -0.78, -0.82
1549009503.28, 277.7, 6.41, 1620.0, 1728.0, 601.0, -0.93757, 60.0, 277.662, 6.46, 1625.0, 1737.0, 612.0, -0.93577, 60.0, 277.546, 6.4, 1613.0, 1724.0, 608.0, -0.93575, 60.0, 456.55, 0.037, 17.0, -0.8, -0.78, -0.82
1549009504.28, 277.676, 7.25, 1618.0, 2018.0, 1205.0, -0.80192, 59.999, 277.818, 7.33, 1625.0, 2030.0, 1217.0, -0.80036, 60.0, 277.591, 7.27, 1614.0, 2018.0, 1210.0, -0.80006, 60.0, 455.99, 0.037, 17.0, -0.8, -0.78, -0.82
