TIME, AC_VRMS_1, AC_IRMS_1, AC_P_1, AC_S_1, AC_Q_1, AC_PF_1, AC_FREQ_1, AC_VRMS_2, AC_IRMS_2, AC_P_2, AC_S_2, AC_Q_2, AC_PF_2, AC_FREQ_2, AC_VRMS_3, AC_IRMS_3, AC_P_3, AC_S_3, AC_Q_3, AC_PF_3, AC_FREQ_3, DC_V, DC_I, DC_P, AC_IRMS_MIN
1549002992.95, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 
1549002993.53, 277.388, 5.91, 1619.0, 1619.0, -10.0, 0.99998, 60.0, 277.33, 6.03, 1623.0, 1623.0, 0.0, -1.0, 60.002, 277.272, 5.82, 1610.0, 1610.0, -5.0, 0.99999, 60.001, 454.67, 0.236, 107.0, 
1549002994.12, 277.319, 5.9, 1618.0, 1618.0, -10.0, 0.99998, 60.001, 277.48, 6.04, 1623.0, 1623.0, 4.0, -1.0, 60.0, 277.236, 5.83, 1609.0, 1609.0, -5.0, 1.0, 60.0, 455.66, 0.232, 106.0, 
1549002994.63, 277.319, 5.9, 1618.0, 1618.0, -10.0, 0.99998, 60.001, 277.48, 6.04, 1623.0, 1623.0, 4.0, -1.0, 60.0, 277.236, 5.83, 1609.0, 1609.0, -5.0, 1.0, 60.0, 455.66, 0.232, 106.0, 
1549002995.12, 277.384, 5.9, 1618.0, 1618.0, -9.0, 0.99998, 60.0, 277.437, 6.04, 1623.0, 1623.0, 6.0, -0.99999, 60.0, 277.18, 5.81, 1606.0, 1606.0, -7.0, 0.99999, 60.0, 461.2, 0.236, 109.0, 
1549002995.62, 277.384, 5.9, 1618.0, 1618.0, -9.0, 0.99998, 60.0, 277.437, 6.04, 1623.0, 1623.0, 6.0, -0.99999, 60.0, 277.18, 5.81, 1606.0, 1606.0, -7.0, 0.99999, 60.0, 461.2, 0.236, 109.0, 
1549002996.12, 277.319, 5.9, 1617.0, 1617.0, -12.0, 0.99997, 60.001, 277.389, 6.05, 1627.0, 1627.0, 5.0, -1.0, 60.0, 277.189, 5.82, 1609.0, 1609.0, -6.0, 0.99999, 60.0, 460.33, 0.238, 110.0, 
1549002996.62, 277.319, 5.9, 1617.0, 1617.0, -12.0, 0.99997, 60.001, 277.389, 6.05, 1627.0, 1627.0, 5.0, -1.0, 60.0, 277.189, 5.82, 1609.0, 1609.0, -6.0, 0.99999, 60.0, 460.33, 0.238, 110.0, 
1549002997.12, 277.399, 5.9, 1619.0, 1619.0, -7.0, 0.99999, 60.001, 277.459, 6.06, 1629.0, 1629.0, 4.0, -1.0, 60.0, 277.261, 5.82, 1608.0, 1608.0, -6.0, 0.99999, 60.0, 454.81, 0.235, 107.0, 
1549002997.62, 277.399, 5.9, 1619.0, 1619.0, -7.0, 0.99999, 60.001, 277.459, 6.06, 1629.0, 1629.0, 4.0, -1.0, 60.0, 277.261, 5.82, 1608.0, 1608.0, -6.0, 0.99999, 60.0, 454.81, 0.235, 107.0, 
1549002997.7, 277.399, 5.9, 1619.0, 1619.0, -7.0, 0.99999, 60.001, 277.459, 6.06, 1629.0, 1629.0, 4.0, -1.0, 60.0, 277.261, 5.82, 1608.0, 1608.0, -6.0, 0.99999, 60.0, 454.81, 0.235, 107.0, 4.72
1549002998.12, 277.299, 5.9, 1620.0, 1620.0, -12.0, 0.99997, 60.001, 277.439, 6.04, 1624.0, 1624.0, 8.0, -0.99999, 60.002, 277.237, 5.82, 1608.0, 1608.0, -12.0, 0.99997, 60.0, 454.79, 0.237, 108.0, 4.72
1549002998.62, 277.299, 5.9, 1620.0, 1620.0, -12.0, 0.99997, 60.001, 277.439, 6.04, 1624.0, 1624.0, 8.0, -0.99999, 60.002, 277.237, 5.82, 1608.0, 1608.0, -12.0, 0.99997, 60.0, 454.79, 0.237, 108.0, 4.72
1549002999.12, 277.376, 5.91, 1620.0, 1620.0, -9.0, 0.99998, 60.0, 277.327, 6.04, 1623.0, 1623.0, 5.0, -1.0, 60.0, 277.206, 5.8, 1602.0, 1602.0, -8.0, 0.99999, 60.001, 454.79, 0.236, 107.0, 4.72
1549002999.62, 277.376, 5.91, 1620.0, 1620.0, -9.0, 0.99998, 60.0, 277.327, 6.04, 1623.0, 1623.0, 5.0, -1.0, 60.0, 277.206, 5.8, 1602.0, 1602.0, -8.0, 0.99999, 60.001, 454.79, 0.236, 107.0, 4.72
1549003000.12, 277.326, 5.91, 1621.0, 1621.0, -8.0, 0.99999, 60.0, 277.434, 6.05, 1629.0, 1629.0, 4.0, -1.0, 60.0, 277.29, 5.81, 1607.0, 1607.0, -9.0, 0.99999, 60.0, 454.56, 0.237, 108.0, 4.72
1549003000.62, 277.326, 5.91, 1621.0, 1621.0, -8.0, 0.99999, 60.0, 277.434, 6.05, 1629.0, 1629.0, 4.0, -1.0, 60.0, 277.29, 5.81, 1607.0, 1607.0, -9.0, 0.99999, 60.0, 454.56, 0.237, 108.0, 4.72
1549003001.14, 277.385, 5.89, 1616.0, 1616.0, -11.0, 0.99998, 60.0, 277.452, 6.01, 1618.0, 1618.0, 6.0, -0.99999, 60.001, 277.243, 5.79, 1601.0, 1601.0, -10.0, 0.99998, 60.0, 448.29, 0.235, 105.0, 4.72
1549003001.58, 277.385, 5.89, 1616.0, 1616.0, -11.0, 0.99998, 60.0, 277.452, 6.01, 1618.0, 1618.0, 6.0, -0.99999, 60.001, 277.243, 5.79, 1601.0, 1601.0, -10.0, 0.99998, 60.0, 448.29, 0.235, 105.0, 4.72
1549003002.12, 277.461, 5.88, 1613.0, 1613.0, -12.0, 0.99997, 60.001, 277.33, 6.01, 1616.0, 1616.0, 7.0, -0.99999, 60.0, 277.309, 5.8, 1603.0, 1603.0, -10.0, 0.99998, 60.0, 448.54, 0.235, 105.0, 4.72
1549003002.62, 277.461, 5.88, 1613.0, 1613.0, -12.0, 0.99997, 60.001, 277.33, 6.01, 1616.0, 1616.0, 7.0, -0.99999, 60.0, 277.309, 5.8, 1603.0, 1603.0, -10.0, 0.99998, 60.0, 448.54, 0.235, 105.0, 4.72
